ds,yhat,yhat_lower,yhat_upper
2023-01-01,29667.85125648655,23231.118418162958,36262.24580809526
2023-02-01,31642.420306278855,25334.880936594913,38106.54187433071
2023-03-01,32359.474731378577,26096.386610555124,38584.95743229827
2023-04-01,32161.855697088187,25822.741750164467,38647.57023318094
2023-05-01,30365.61915262781,24029.01815221747,36735.37376184955
2023-06-01,27697.000638412293,21062.464689221055,34138.662654238135
2023-07-01,24651.11076749892,18288.024239869126,31267.054074860247
2023-08-01,22303.931059726267,15715.334352936257,28736.2320590006
2023-09-01,21277.451381773768,14764.71964300175,27792.72433358809
2023-10-01,22333.005743928457,15981.807796368204,29315.50455126317
2023-11-01,24920.298912979728,18019.010794664875,31721.099865082288
2023-12-01,27416.85084662007,20872.789511602754,33481.101045498566
2024-01-01,30010.637675285652,23944.140506178606,36178.43807768201
2024-02-01,32268.16065979983,25542.58484117013,38816.617340526325
2024-03-01,32912.85748362703,26216.81637810793,39547.22331801292
2024-04-01,32884.679243533144,26543.25945286905,39635.87550409533
2024-05-01,30889.91794639627,24612.463176699937,37247.177342815216
2024-06-01,27879.750380991118,21463.446986071136,33898.60170598114
2024-07-01,24866.18805164932,18400.265364778646,31725.194214075247
2024-08-01,22906.631366490124,16572.966857958625,29771.50989067961
2024-09-01,21448.496383950325,14751.255385778411,27776.984511749044
2024-10-01,22925.122296855057,16655.4386216383,29820.769084028514
2024-11-01,25635.764544519232,19045.851236616065,32323.921947950872
2024-12-01,27876.939230620035,21162.997021807183,34468.17417275902
2025-01-01,30764.297257725073,24105.318106686842,37324.768432751065
2025-02-01,32167.05432799538,25553.080457838187,38382.653665860285
2025-03-01,33323.612566983706,26677.1195298296,40044.001528629924
2025-04-01,33235.969024035,26984.82521066725,39177.833356677125
2025-05-01,31303.84988847975,24606.198864965,37989.37846687744
2025-06-01,28408.119932158013,21733.066024587853,34935.93295132268
2025-07-01,25386.686515231926,18954.53555490651,31757.374099115932
2025-08-01,23296.88214668286,16960.342866567487,29793.410961505284
2025-09-01,21982.613775248883,15320.65806048916,28234.59272029123
2025-10-01,23320.970823607655,16991.58268470549,29326.88417162433
2025-11-01,25988.371347644388,19632.51891389305,32234.864360730433
2025-12-01,28313.837989601776,21605.76182662786,34155.37772316716
2026-01-01,31101.46895547408,25013.393848949556,37417.549001854255
2026-02-01,32791.03423171755,25947.915465438455,38836.46372702759
2026-03-01,33730.33528471422,27786.54361640387,40481.07470851104
